AllAmerican,P2,Duraclad,Galvanized,29,36
"24 @ 3' 8""",,,,,
"2 @ 12' 4""",,,,,
"2 @ 10' 1""",,,,,
"2 @ 9'",,,,,
"2 @ 6' 9""",,,,,
"2 @ 5' 8""",,,,,
"2 @ 3' 5""",,,,,
"2 @ 2' 3""",,,,,
Total panel length ," 420' 8""",,,,
Sheet area , 1261 sqft ,,,,
Roof area , 1181 sqft ,,,,
Block area , 0 sqft ,,,,
